TransactionID,Date,Time,CustomerID,Name,Surname,Shipping_State,Item No.,Description,Retail_Price,Loyalty_Discount
113255,13-12-2016,18:05:00,200000663,Leonard,Jackson,Delaware,8619953091,Pillowcase,18.96,0.02
113254,13-12-2016,18:05:00,200000661,Lucas,Abraham,Louisiana,2020397001,Men's Pajama Set,23.1,0
113253,13-12-2016,18:03:00,200000662,Trevor,Skinner,Louisiana,4681342313,Sheets,29.9,0.1
113252,13-12-2016,18:01:00,100000007,Dorothy,Thomson,Alabama,6697166886,Coat,159.8,0.07
113251,13-12-2016,18:01:00,400000180,Eric,Bower,New Hampshire,6697166886,Coat,159.8,0.06
113250,13-12-2016,17:59:00,200000701,Joshua,Wilson,North Carolina,5187373849,Short Slip,12.87,0.1
113249,13-12-2016,17:59:00,300000467,Angela,Morrison,Utah,7010679527,Blanket,63.84,0.08
113248,13-12-2016,17:58:00,400000706,Samantha,Mills,Alabama,1893735141,Socks,115.5,0.1
113247,13-12-2016,17:57:00,100000061,Kylie,Howard,Minnesota,8241463559,Wallet,49.75,0.1
113246,13-12-2016,17:55:00,400000513,Amy,Wilkins,Minnesota,2430071492,Dust Ruffle,41.86,0.02
113245,13-12-2016,17:51:00,200000459,Charles,Brown,Arizona,6988128169,Handbag,25.44,0.04
113244,13-12-2016,17:48:00,200000482,Justin,Graham,Arizona,7270957383,Scarf,29.85,0.01
113243,13-12-2016,17:48:00,100000081,Joan,Buckland,Minnesota,6228611532,Valance,47.76,0.02
113242,13-12-2016,17:46:00,200000821,Charles,Underwood,Texas,1940915493,Long Gown,68.77,0.08
113241,13-12-2016,17:45:00,300000015,Madeleine,Marshall,Arizona,3305177499,Coveralls (long sleeve),95.88,0.08
113240,13-12-2016,17:43:00,100000252,Nicholas,Lyman,North Carolina,4924918902,T-shirt,62.79,0.09
113239,13-12-2016,17:42:00,300000822,Leonard,Fisher,Maine,2363094138,Short Overalls,71.82,0.07
113238,13-12-2016,17:42:00,300000815,Pippa,Robertson,Massachusetts,2355020550,Sweater,67.92,0.03
113237,13-12-2016,17:42:00,100000618,Andrew,Wright,Wyomin,3890778939,Suit & 2 pc Dress,125.16,0.08
113236,13-12-2016,17:42:00,100000051,Sophie,Wilkins,Washington,5153370805,Shorts,43.96,0.04
113235,13-12-2016,17:42:00,100000880,Rachel,Springer,North Dakota,1737807900,Tie,68.64,0.03
113234,13-12-2016,17:40:00,100000898,Samantha,Ross,Montan,2695940506,Sweater,59.4,0.02
113233,13-12-2016,17:40:00,400000359,Gabrielle,MacDonald,Vermont,9873264896,Hat,10.89,0.07
113232,13-12-2016,17:39:00,100000559,Grace,Mills,Massachusetts,7270957383,Scarf,29.85,0.09
113231,13-12-2016,17:38:00,100000878,Felicity,Metcalfe,Florida,8068199275,Slacks,87.78,0.03
113230,13-12-2016,17:36:00,100000013,Ryan,MacDonald,Delaware,2588421965,Commode Cover,15.84,0.08
113229,13-12-2016,17:35:00,100000569,Gabrielle,Skinner,Wyomin,9730446421,Blazer,103.3,0
113228,13-12-2016,17:34:00,300000852,Kevin,Parsons,Mississippi,4327321762,Dress,69.75,0.03
113227,13-12-2016,17:33:00,100000158,Michael,Powell,North Carolina,3126356136,Formal Dress,99.9,0.09
113226,13-12-2016,17:33:00,300000023,Deirdre,McDonald,New York,2178891798,Hand Towel,18.17,0.05
113225,13-12-2016,17:33:00,100000923,Andrea,Henderson,Missouri,3795753080,Jeans,38.1,0.09
113224,13-12-2016,17:29:00,100000251,Fiona,Jones,South Dakota,2210750188,Blazer,119.76,0.1
113223,13-12-2016,17:28:00,400000557,Lisa,Buckland,Kentucky,5509524170,Couch Cover,86.68,0.02
113222,13-12-2016,17:27:00,300000614,Jennifer,Skinner,Georgia,2524845521,Gown & Robe Set,105.6,0.1
113221,13-12-2016,17:26:00,100000477,Chloe,MacLeod,Wyomin,6228611532,Valance,47.76,0.09
113220,13-12-2016,17:26:00,200000537,Rebecca,Simpson,Wyomin,4924918902,T-shirt,62.79,0.09
113219,13-12-2016,17:25:00,100000567,Alison,James,Arizona,5050067655,Bottoms,66.96,0
113218,13-12-2016,17:24:00,200000256,Julian,Peake,Connecticut,3123824581,Sweatpants,43.89,0.04
113217,13-12-2016,17:22:00,400000368,Olivia,Simpson,Vermont,7841340144,Shirt,29.4,0
113216,13-12-2016,17:20:00,100000521,Sonia,Vance,Vermont,9538578209,Dress,87.36,0.06
113215,13-12-2016,17:20:00,200000493,Jacob,Forsyth,Arizona,9730446421,Blazer,103.3,0.07
113214,13-12-2016,17:20:00,100000173,Hannah,Thomson,Massachusetts,5310615417,Tie,41.79,0.03
113213,13-12-2016,17:19:00,100000824,Heather,Davies,Massachusetts,6991736764,Pillow Sham,19.8,0.07
113212,13-12-2016,17:18:00,100000344,Anna,Miller,South Dakota,6182400847,Blazer,26.88,0.03
113211,13-12-2016,17:17:00,100000760,Keith,Walker,Minnesota,8675740287,Baby Quilt,47.76,0.09
113210,13-12-2016,17:17:00,100000542,Anne,Sharp,Illinoi,6661671897,Swimwear,50.83,0.09
113209,13-12-2016,17:12:00,300000730,Nicola,Howard,Iowa,2430071492,Dust Ruffle,41.86,0.09
113208,13-12-2016,17:11:00,100000121,Ian,Slater,Alabama,2363094138,Short Overalls,71.82,0.1
113207,13-12-2016,17:10:00,100000051,Sophie,Wilkins,Washington,7833392032,Skirt,55.86,0.04
